"MachineName","Name","Status"
"USOKCA0002","SAPAdapterEngine0_64","Running"
"USSTNH0001","SAPAdapterEngine0_64","Stopped"
"USPHNA1005","SAPAdapterEngine0_64","Running"
"USJFRA0002","SAPAdapterEngine0_64","Running"
"USMCBA0001","SAPAdapterEngine0_64","Running"
"USANDA0004","SAPAdapterEngine0_64","Running"
"USCABA0015","SAPAdapterEngine0_64","Running"
"USDNVA0002","SAPAdapterEngine0_64","Running"
"USCABA9991","SAPAdapterEngine0_64","Running"
"USMECA0020","SAPAdapterEngine0_64","Running"
"USSPDA0000","SAPAdapterEngine0_64","Running"
"USHOLA0015","SAPAdapterEngine0_64","Running"
"USMECA0015","SAPAdapterEngine0_64","Running"
"USJKVA0007","SAPAdapterEngine0_64","Running"
"CAMISA0001","SAPAdapterEngine0_64","Running"
"USCABA0020","SAPAdapterEngine0_64","Running"
"USKGWA0000","SAPAdapterEngine0_64","Running"
"CATRNA0003","SAPAdapterEngine0_64","Running"
"CANYKA9985","SAPAdapterEngine0_64","Running"
"USSOLA0101","SAPAdapterEngine0_64","Running"
"CANYKD0043","SAPAdapterEngine0_64","Running"
"CANYKA0050","SAPAdapterEngine0_64","Running"
"USMEDA0007","SAPAdapterEngine0_64","Running"
"USONTA9991","SAPAdapterEngine0_64","Running"
"USPSPA0020","SAPAdapterEngine0_64","Running"
"USDNYA0002","SAPAdapterEngine0_64","Running"
"USMEDA0006","SAPAdapterEngine0_64","Running"
"USONTA0015","SAPAdapterEngine0_64","Running"
"USHOLA0020","SAPAdapterEngine0_64","Running"
"USMECA9991","SAPAdapterEngine0_64","Running"
"USFTSA0101","SAPAdapterEngine0_64","Running"
"USFTSA0102","SAPAdapterEngine0_64","Running"
"USFRAA0102","SAPAdapterEngine0_64","Running"
"USONTA0020","SAPAdapterEngine0_64","Running"
"USJONA0101","SAPAdapterEngine0_64","Running"
"USCRTA0002","SAPAdapterEngine0_64","Running"
"USBLFA0000","SAPAdapterEngine0_64","Running"
"USLCHA0006","SAPAdapterEngine0_64","Running"
"USGAFH0002","SapAdapterEngine0_64","Running"
"USBURA0101","SAPAdapterEngine0_64","Running"
"CALDNA0001","SAPAdapterEngine0_64","Running"
"USDANA0002","SAPAdapterEngine0_64","Running"
"USHGRA0002","SAPAdapterEngine0_64","Running"
"USSTLA9996","SAPAdapterEngine0_64","Running"
"USSTLA0088","SAPAdapterEngine0_64","Running"
"USLCHA0005","SAPAdapterEngine0_64","Running"
"CANYKD0041","SAPAdapterEngine0_64","Running"
"USITSA0101","SAPAdapterEngine0_64","Running"
"CASTGA0001","SAPAdapterEngine0_64","Running"
"USATGA0002","SAPAdapterEngine0_64","Running"
"USSTLA0001","SAPAdapterEngine0_64","Running"
"USSTLA9997","SAPAdapterEngine0_64","Running"
"USSTJA0000","SAPAdapterEngine0_64","Running"
"USHOLA9991","SAPAdapterEngine0_64","Running"
"USDAVA0001","SAPAdapterEngine0_64","Running"
"USFMTA0202","SAPAdapterEngine0_64","Running"
"CANYKA9984","SAPAdapterEngine0_64","Running"
"USFREA0002","SAPAdapterEngine0_64","Running"
"USFMTA0201","SAPAdapterEngine0_64","Running"
"USMRCA0000","SAPAdapterEngine0_64","Running"
"USJKVA0006","SAPAdapterEngine0_64","Running"
"USPHNA0060","SAPAdapterEngine0_64","Running"
"USSTNA0067","SAPAdapterEngine0_64","Running"
"USGLND0097","SAPAdapterEngine0_64","Running"
"USSTNA0039","SAPAdapterEngine0_64","Running"
"USSTNA0060","SAPAdapterEngine0_64","Running"
"USEAGA0004","SAPAdapterEngine0_64","Running"
"USSTNA0104","SAPAdapterEngine0_64","Running"
"USPHNA0051","SAPAdapterEngine0_64","Running"
"USPHND1002","SAPAdapterEngine0_64","Running"
"USSTND0033","SAPAdapterEngine0_64","Running"
"USPHNA0057","SAPAdapterEngine0_64","Running"
"USCHGH0001","SAPAdapterEngine0_64","Running"
"USALLA0002","SAPAdapterEngine0_64","Running"
"USWAVA0003","SAPAdapterEngine0_64","Running"
"USEAGA0003","SAPAdapterEngine0_64","Running"
"USSPRA0006","SAPAdapterEngine0_64","Running"
"USSTNA9982","SAPAdapterEngine0_64","Running"
"USEAUA0004","SAPAdapterEngine0_64","Running"
"USPHNA0106","SAPAdapterEngine0_64","Running"
"USSTNA0094","SAPAdapterEngine0_64","Running"
"USPHNA0030","SAPAdapterEngine0_64","Running"
"USMORA0002","SAPAdapterEngine0_64","Running"
"USPHNA0017","SAPAdapterEngine0_64","Running"
"USLAUA0002","SAPAdapterEngine0_64","Running"
"USMODA0002","SAPAdapterEngine0_64","Running"
"USDVRA0020","SAPAdapterEngine0_64","Running"
"USSTND0016","SAPAdapterEngine0_64","Running"
"USPHND0017","SAPADAPTERENGINE0_64","Running"
"USPHNA0104","SAPAdapterEngine0_64","Running"
"USKFDA0020","SAPAdapterEngine0_64","Running"
"USPHNA0102","SAPAdapterEngine0_64","Running"
"USSTND0018","SAPAdapterEngine0_64","Running"
"USSTNA0007","SAPAdapterEngine0_64","Running"
"USPHNA0049","SAPAdapterengine0_64","Running"
"USWAVA0004","SAPAdapterEngine0_64","Running"
"USPHNA0046","SAPAdapterEngine0_64","Running"
"USSTNA9981","SAPAdapterEngine0_64","Running"
"USSTND9988","SAPAdapterEngine0_64","Running"
"USSTND1099","SAPAdapterEngine0_64","Running"
"USEAUA0003","SAPAdapterEngine0_64","Running"
"USSTNA9995","SAPAdapterEngine0_64","Running"
"USSTND0051","SAPAdapterEngine0_64","Running"
"USPHNA9965","SAPAdapterEngine0_64","Running"
"USSTNA0036","SAPAdapterEngine0_64","Running"
"USSTNA0096","SAPAdapterEngine0_64","Running"
"USPHNA1004","SAPAdapterEngine0_64","Running"
"USSTNI0014","SAPAdapterEngine0_64","Running"
"USSTND0049","SAPAdapterEngine0_64","Running"
"USSTND0035","SAPAdapterEngine0_64","Running"
"USFRMA0020","SAPAdapterEngine0_64","Running"
"USSTNA9996","SAPAdapterEngine0_64","Running"
"USSTNA9978","SAPAdapterEngine0_64","Running"
"USSTND9979","SAPAdapterEngine0_64","Running"
"USGLNA0009","SAPAdapterEngine0_64","Running"
"USSTNA0098","SAPAdapterEngine0_64","Running"
"USSTNA0103","SAPAdapterEngine0_64","Running"
"USSTNA9988","SAPAdapterEngine0_64","Running"
"USSTND0022","SAPAdapterEngine0_64","Running"
"USGAFA0101","SAPAdapterEngine0_64","Running"
"USBKFL0002","SAPAdapterEngine0_64","Running"
"USPHWA0037","SAPAdapterEngine0_64","Running"
"USZEPA0020","SAPAdapterEngine0_64","Running"
"USCARA0020","SAPAdapterEngine0_64","Running"
"USFLGA0000","SAPAdapterEngine0_64","Running"
"USDMCA0015","SAPAdapterEngine0_64","Running"
"USALPA9991","SAPAdapterEngine0_64","Running"
"USALPA0015","SAPAdapterEngine0_64","Running"
"USLEEA9991","SAPAdapterEngine0_64","Running"
"CAABFA0020","SAPAdapterEngine0_64","Running"
"USETXA0015","SAPAdapterEngine0_64","Running"
"USETXA9991","SAPAdapterEngine0_64","Running"
"USWRDA0020","SAPADAPTERENGINE0_64","Running"
"USINPA0020","SAPAdapterEngine0_64","Running"
"USSTWD9999","SAPAdapterEngine0_64","Running"
"USINPA9991","SapAdapterEngine0_64","Running"
"USALEA9991","SapAdapterEngine0_64","Running"
"USLAXA0020","SAPAdapterEngine0_64","Running"
"USLEEA0015","SAPAdapterEngine0_64","Running"
"USZEPA9991","SAPAdapterEngine0_64","Running"
"USRBSA0020","SAPAdapterEngine0_64","Running"
"USSTMA0015","SAPAdapterEngine0_64","Running"
"USDMCA0020","SAPAdapterEngine0_64","Running"
"USDMCA9991","SAPAdapterEngine0_64","Running"
"USALPA0020","SAPAdapterEngine0_64","Running"
"USZEPA0015","SAPAdapterEngine0_64","Running"
"USINPA0015","SAPAdapterEngine0_64","Running"
"USSTMA0003","SAPAdapterEngine0_64","Running"
"USSTMA9991","SAPAdapterEngine0_64","Running"
"USPHWA0036","SAPAdapterEngine0_64","Running"
"CAABFA0015","SAPAdapterEngine0_64","Running"
"USPHWH9998","SAPAdapterEngine0_64","Running"
"USSTMA9993","SAPAdapterEngine0_64","Running"
"USSTWH0004","SAPAdapterEngine0_64","Running"
"USSTWH0005","SAPAdapterEngine0_64","Stopped"
"USBTVA0000","SAPAdapterEngine0_64","Running"
"USALEA0015","SAPAdapterEngine0_64","Running"
"USBLMA0002","SAPAdapterEngine0_64","Running"
"CAINNA0002","SAPAdapterEngine0_64","Running"
"USBKFA0000","SAPAdapterEngine0_64","Running"
"USLEEA0020","SAPAdapterEngine0_64","Running"
"USPHWA9978","SAPAdapterEngine0_64","Running"
"USFRWA0002","SAPAdapterEngine0_64","Running"
"USALEA0020","SAPAdapterEngine0_64","Running"
"USSHOA0020","SAPAdapterEngine0_64","Running"
"USCLNA0000","SAPAdapterEngine0_64","Running"
"USPHOA0020","SAPAdapterEngine0_64","Running"
"USSTNH0002","SAPAdapterEngine0_64","Running"
"CAHBCA0020","SAPAdapterEngine0_64","Running"
"USAQPA0020","SAPAdapterEngine0_64","Running"
"USSACA0020","SAPAdapterEngine0_64","Running"
"USPASA0020","SAPAdapterEngine0_64","Running"
"USETXA0020","SAPAdapterEngine0_64","Running"
"USDCOH0001","SAPAdapterEngine0_64","Running"
"USFOLH0002","SAPAdapterEngine0_64","Running"
"USFOLH0001","SAPAdapterEngine0_64","Stopped"
"USLIVA0020","SAPAdapterEngine0_64","Running"
"USCHCL0099","SAPAdapterEngine0_64","Running"
"USBKFL0001","SAPAdapterEngine0_64","Running"
"USPHNA0103","SAPAdapterEngine0_64","Running"
"USGAFH0001","SAPADAPTERENGINE0_64","Stopped"
"USCHCA0000","SAPAdapterEngine0_64","Running"
"USTULA0001","SAPAdapterEngine0_64","Running"
"USCLVA0101","SAPAdapterEngine0_64","Running"
"USMTSA0003","SAPAdapterEngine0_64","Running"
"USPHNA0006","SAPAdapterEngine0_64","Running"
"USMBEA0015","SAPAdapterEngine0_64","Running"
"USMBEA9991","SAPAdapterEngine0_64","Running"
"USSTLA0096","SAPAdapterEngine0_64","Running"
"USPHNA0130","SAPAdapterEngine0_64","Running"
"USFTDA0000","SAPAdapterEngine0_64","Running"
"USPHWD9993","SAPAdapterEngine0_64","Running"
"USPHWD0018","SAPAdapterEngine0_64","Running"
"USMANH1003","SAPAdapterEngine0_64","Stopped"
"USMANH1002","SAPAdapterEngine0_64","Running"
"USDUBA0000","SAPAdapterEngine0_64","Running"
"USSLCA0001","SAPAdapterEngine0_64","Running"
"USINOH0006","SAPAdapterEngine0_64","Stopped"
"USINOH0005","SAPAdapterEngine0_64","Running"
