"ClusterName","HyperVNodeName","No_of_Cores","No_of_Logical_processors","Hyperthreading"
"WNMBHSCH102","WNMBHHYV018","6","12","Enabled"
"WNMBHSCH102","WNMBHHYV019","6","12","Enabled"
"WNMBHSCH102","WNMBHHYV020","6","12","Enabled"
"WNMBHSCH102","WNMBHHYV021","6","12","Enabled"
"WNSGHSCH100","WNSGHHYV101","6","12","Enabled"
"WNSGHSCH100","WNSGHHYV102","6","12","Enabled"
"WNSGHSCH100","WNSGHHYV103","6","12","Enabled"
"WNSGHSCH100","WNSGHHYV104","6","12","Enabled"
"WNSGHSCH100","WNSGHHYV105","6","12","Enabled"
"WNSGHSCH100","WNSGHHYV106","6","12","Enabled"
"WNSGHSCH100","WNSGHHYV107","6","12","Enabled"
"WNSGHSCH100","WNSGHHYV108","6","12","Enabled"
"WNSGHSCH100","WNSGHHYV109","6","12","Enabled"
"WNDDHSCH102","WNDDHHYV041","6","12","Enabled"
"WNDDHSCH102","WNDDHHYV042","6","12","Enabled"
"WNDDHSCH102","WNDDHHYV043","6","12","Enabled"
"WNDDHSCH102","WNDDHHYV044","6","12","Enabled"
"WNDDHSCH102","WNDDHHYV045","6","12","Enabled"
"WNDDHSCH102","WNDDHHYV046","6","12","Enabled"
"WNDDHSCH102","WNDDHHYV047","6","12","Enabled"
"WNDDHSCH102","WNDDHHYV048","6","12","Enabled"
